ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops,Carrier_ID
1,0,1,148,161,161,20,1,0,100,3,1,935,2,2,0->0,0->1,0,1,1,0
1,0,4,123,154,139,20,2,1,100,3,2,2382,56,6,1->3,0->1->3->4,1,2,3,1
2,0,5,133,166,166,20,2,3,100,3,2,2572,106,6,"2->5, 1->2",0->1->2->5,2,1,3,1
3,4,9,134,168,135,20,1,0,100,3,3,2592,4,4,0->0,4->6->9,0,2,2,1
4,4,10,146,162,162,20,2,4,100,3,1,2498,56,6,4->5,4->5->8->10,1,2,3,1
5,5,7,100,100,100,20,1,0,100,3,1,0,4,4,0->0,5->8->7,0,2,2,1
6,5,9,100,100,100,20,2,4,100,3,1,0,56,6,5->4,5->4->6->9,1,2,3,1
7,7,9,100,100,100,20,1,0,100,3,1,0,4,4,0->0,7->8->9,0,2,2,1
8,7,10,100,100,100,20,1,0,100,3,1,0,2,2,0->0,7->10,0,1,1,1
9,9,10,100,100,100,20,1,0,100,3,1,0,4,4,0->0,9->8->10,0,2,2,1
